time_s,frequency_hz,delta_frequency_hz,diesel_power_mw,storage_power_mw,storage_soc,power_deficit_mw,diesel_power_mw__diesel_slow,diesel_power_mw__diesel_fast,storage_power_mw__bess_1,storage_power_mw__bess_2,storage_soc__bess_1,storage_soc__bess_2
2.78,49.3739812,-0.626018829,0.283794209,1.05528164,0.749906483,2,0.112420441,0.171373768,0.621748167,0.433533472,0.799914986,0.649889477
2.8,49.373584,-0.626416011,0.286844054,1.05536252,0.74990518,2,0.113856374,0.17298768,0.621696581,0.433665939,0.799913834,0.649887871
2.82,49.3732298,-0.626770153,0.289861862,1.05539079,0.749903877,2,0.11528419,0.174577672,0.621617634,0.433773157,0.799912683,0.649886265
2.84,49.3729172,-0.627082824,0.292847606,1.05536855,0.749902574,2,0.116703786,0.17614382,0.621512456,0.433856092,0.799911532,0.649884658
2.86,49.3726444,-0.62735555,0.295801276,1.05529783,0.749901271,2,0.118115065,0.177686211,0.621382146,0.433915681,0.799910382,0.649883051
2.88,49.3724102,-0.627589812,0.298722875,1.0551806,0.749899969,2,0.119517935,0.179204941,0.621227765,0.433952834,0.799909231,0.649881443
2.9,49.372213,-0.627787049,0.301612426,1.05501878,0.749898666,2,0.120912311,0.180700115,0.621050346,0.433968434,0.799908081,0.649879836
2.92,49.3720513,-0.627948659,0.304469964,1.05481423,0.749897364,2,0.122298115,0.18217185,0.620850889,0.433963338,0.799906931,0.649878229
2.94,49.371924,-0.628075997,0.30729554,1.05456874,0.749896062,2,0.123675272,0.183620267,0.620630361,0.433938378,0.799905782,0.649876622
2.96,49.3718296,-0.628170381,0.310089215,1.05428406,0.74989476,2,0.125043716,0.185045499,0.620389702,0.433894359,0.799904633,0.649875015
2.98,49.3717669,-0.62823309,0.312851068,1.05396189,0.749893459,2,0.126403383,0.186447685,0.620129822,0.433832064,0.799903485,0.649873408
3,49.3717346,-0.628265363,0.315581187,1.05360385,0.749892158,2,0.127754215,0.187826972,0.619851602,0.433752252,0.799902337,0.649871801
3.02,49.3717316,-0.628268406,0.318279672,1.05321156,0.749890858,2,0.12909616,0.189183513,0.619555897,0.433655659,0.79990119,0.649870195
3.04,49.3717566,-0.628243386,0.320946637,1.05278653,0.749889558,2,0.130429169,0.190517467,0.619243532,0.433542998,0.799900043,0.64986859
